Name,Mass (MJ),Radius (RJ),Period (days),Semi-major axis (AU),Temp. (K)[1],Discovery method,Disc. Year,Distance (ly),Host star mass (M☉),Host star temp. (K),Remarks
HD 196050 b,2.9,,1378,2.54,,radial vel.,2002,153.1,1.15,5892,
HD 196885 b,2.58,,1333,2.37,,radial vel.,2007,107.6,1.28,6254,
HD 202206 c,2.44,,1383.4,2.55,,radial vel.,2004,151.1,1.15,5765,
HD 203030 b,24.09,,,487.1,,imaging,2006,133.2,,,
HD 205739 b,1.37,,279.8,0.896,,radial vel.,2003,294.6,1.22,6176,
HD 206610 b,2.2,,610,1.68,,radial vel.,2009,554.7,1.56,4874,
HD 208487 b,0.52,,130.08,0.524,,radial vel.,2004,140,1.13,6067,
HD 210702 b,1.9,,354.8,1.2,,radial vel.,2007,182.4,1.68,4967,
HD 212301 b,0.45,,2.245715,0.036,,radial vel.,2005,171.9,1.27,6256,
HD 212771 b,2.3,,373.3,1.22,,radial vel.,2009,397,1.15,5121,
HD 213240 b,4.5,,951,2.03,,radial vel.,2001,132.9,,,
HD 215497 b,0.02,,3.93404,0.047,,radial vel.,2009,142.0,0.87,5113,
HD 215497 c,0.33,,567.94,1.282,,radial vel.,2009,142.0,0.87,5113,
HD 216770 b,0.65,,118.45,0.46,,radial vel.,2003,123.6,0.9,,
HD 217107 c,2.6,,4270,5.32,,radial vel.,2005,64.3,1.02,5646,
HD 219828 b,0.06607,,3.834887,0.045,,radial vel.,2007,254,1.23,5891,
HD 221287 b,3.09,,456.1,1.25,,radial vel.,2007,172.5,1.25,6304,
HD 224693 b,0.71,,26.73,0.192,,radial vel.,2006,306.8,1.33,6037,
HD 231701 b,1.08,,141.6,0.53,,radial vel.,2007,353.7,1.14,6208,
HD 240210 b,5.21,,501.75,1.16,,radial vel.,2009,466 ± 173,0.82,4297,
HD 285968 b,0.026,,8.7836,0.066,,radial vel.,2008,30.7,0.45,3679,
HD 290327 b,2.54,,2443,3.43,,radial vel.,2009,185,0.9,5552,
HIP 5158 b,1.42,,345.72,0.89,,radial vel.,2009,146,0.78,4962,
HIP 14810 b,3.88,,6.673855,0.0692,690,radial vel.,2005,172.5,0.99,5485,
HIP 14810 c,1.28,,147.73,0.545,,radial vel.,2006,172.5,0.99,5485,
HIP 14810 d,0.57,,952,1.89,,radial vel.,2009,172.5,0.99,5485,
HIP 70849 b,9,,17337.5,20.25,,radial vel.,2009,78.2,,,
HIP 79431 b,2.1,,111.7,0.36,,radial vel.,2009,49,,,
HN Pegasi b,21.9987,1.051,,773,,imaging,2006,60.0,,,
HR 8799 b,7,1.2,170000,68,,imaging,2008,129,1.51,,
HR 8799 c,10,1.2,69000,38,,imaging,2008,129,1.51,,
HR 8799 d,10,1.2,37000,24,,imaging,2008,129,1.51,,
Iota Draconis b,8.82,,511.098,1.275,,radial vel.,2002,102.2,1.05,4530,
Kappa Coronae Borealis b,2,,1261.94,2.8,,radial vel.,2007,99,1.47,4788,
Kepler-4b,0.077,0.357,3.21346,0.0456,,transit,2009,1800,1.22,5857,
Kepler-5b,2.111,1.426,3.5484657,0.0538,1752,transit,2009,3010 ± 60,1.37,6297,
Kepler-6b,0.668,1.304,3.2346996,0.04852,1451,transit,2009,1612 +139 −212,1.21,5647,
Kepler-7b,0.441,1.622,4.8854892,0.06067,1586,transit,2009,2576 +186 −389,1.36,5933,
Lupus-TR-3b,0.81,0.89,3.91405,0.0464,,transit,2007,6500,0.87,5000,The faintest ground-based detection of a transiting planet[6]
MOA-2007-BLG-192Lb,0.01,,,0.62,,microlensing,2008,3300,0.06,,
MOA-2007-BLG-400Lb,0.83,,,0.72,,microlensing,2008,19000,0.3,,
MOA-2008-BLG-310Lb,0.23,,,1.25,,microlensing,2009,20000,0.67,,
Mu Arae b,1.08,,643.25,1.497,,radial vel.,2000,49.8,1.08,5807,
Mu Arae c,1.814,,4205.8,5.235,,radial vel.,2004,49.8,1.08,5807,
Mu Arae d,0.03321,,9.6386,0.09094,,radial vel.,2004,49.8,1.08,5807,
Mu Arae e,0.5219,,310.55,0.921,,radial vel.,2006,49.8,1.08,5807,
NGC 2423-3 b,10.6,,714.3,2.1,,radial vel.,2007,2500,2.4,,
NGC 4349-127 b,19.8,,677.8,2.38,,radial vel.,2007,7200,3.9,,
OGLE-2003-BLG-235Lb,2.6,,,4.3,,microlensing,2004,19000,0.63,,
OGLE-2005-BLG-169Lb,0.04436,,,3.5,,microlensing,2006,13000,0.69,,
OGLE-2005-BLG-390Lb,0.017,,3285,2.6,,microlensing,2005,22000,0.22,,
OGLE-2005-BLG-71Lb,3.8,,,3.6,,microlensing,2005,10000,0.46,,
OGLE-2006-BLG-109Lb,0.73,,1788.5,2.3,,microlensing,2008,4900,0.51,,
OGLE-2006-BLG-109Lc,0.27,,4927.5,4.5,,microlensing,2008,4900,0.51,,
OGLE-2007-BLG-368Lb,0.06,,,3.3,,microlensing,2009,19000,0.64,,
OGLE-TR-10b,0.62,1.25,3.101278,0.0434,,transit,2004,5000,1.14,5950,
OGLE-TR-56b,1.39,1.363,1.2119189,0.02383,,transit,2002,4900,1.23,6050,First planet discovered via transit[7]
OGLE-TR-111b,,1.019,4.0144463,0.0473,,transit,2004,5000,0.85,5040,
OGLE-TR-113b,1.26,1.093,1.4324752,0.02289,,transit,2004,2000,0.78,4790,
OGLE-TR-132b,1.18,1.2,1.689868,0.03035,,transit,2004,8200,1.3,6210,
OGLE-TR-182b,1.01,1.13,3.9791,0.051,,transit,2007,12700,1.14,5924,
OGLE-TR-211b,1.03,1.36,3.67724,0.051,,transit,2007,17300,1.33,6325,
OGLE2-TR-L9 b,4.5,1.61,2.4855335,0.0308,,transit,2008,2935,1.52,6933,
Oph 162225-240515 b,14,,7300000,243,,imaging,2006,410,0.02,2375,
Pi Mensae b,10.02,,2093.07,3.10,,radial vel.,2001,59.6,1.09,6037,
Pollux b,2.3,,589.64,1.64,,radial vel.,2006,33.7,2.1,4946,
PSR B1620-26 b,2.5,,,23,,timing,2003,12400,1.35,,Oldest exoplanet known[8]
Rho Indi b,1.82,,1256,2.32,,radial vel.,2002,86.5,1.15,,
SWEEPS-04,3.8,0.81,4.2,0.055,,transit,2006,28000,1.24,,
SWEEPS-11,9.7,1.13,1.796,0.03,,transit,2006,28000,1.1,,
Tau1 Gruis b,1.26,,1311,2.56,,radial vel.,2002,108.6,1.3,5999,
TrES-1b,0.752,1.067,3.030065,0.03925,,transit,2004,490,0.88,5230,
TrES-2b,1.197,1.247,2.47061317,0.0367,1455,transit,2006,690,0.98,5850,
TrES-3b,1.91,1.336,1.30618581,0.02282,,transit,2007,740,0.93,5650,
TrES-4b,0.494,1.838,3.55392771,0.0516,,transit,2007,1600,1.45,6295,
UScoCTIO 108 b,14,,,670,,imaging,2008,473 ± 6,0.06,2700,
V391 Pegasi b,3.2,,1170,1.7,,timing,2007,4600,0.5,29300,
WASP-1b,0.854,1.483,2.5199454,0.03889,,transit,2007,1330,1.24,,
WASP-2b,0.915,1.071,2.152226,0.03138,,transit,2007,540,0.89,5200,
WASP-3b,1.98,1.4,1.8468355,0.0315,,transit,2007,720,1.23,6400,
WASP-4b,1.216,1.33,1.33823251,,,transit,2007,980,0.89,5436,
WASP-5b,1.58,1.087,1.6284279,0.0267,,transit,2008,980,0.96,5700,
WASP-6b,0.485,1.23,3.36100208,0.0414,,transit,2009,1000,0.84,5375,
WASP-7b,0.96,1.33,4.954658,0.0618,,transit,2008,460,1.28,6400,
WASP-10b,3.15,1.08,3.0927616,0.03781,,transit,2008,290,0.75,4675,
WASP-11b,0.487,1.005,3.7224747,0.0435,,transit,2008,397,0.83,4980,
WASP-12b,1.47,1.9,1.0914203,0.0234,,transit,2008,871,1.43,6360,
WASP-13b,0.477,1.389,4.353011,0.05362,,transit,2009,510,1.09,5826,
WASP-14b,7.341,1.281,2.243752,0.036,,transit,2008,520,1.21,6475,
WASP-15b,0.542,1.428,3.7520656,0.0499,,transit,2009,1004,1.18,6300,
WASP-16b,0.855,1.008,3.1186009,0.0421,,transit,2009,680 ± 40,1.02,5700,
WASP-17b,0.486,1.991,3.735438,0.0515,,transit,2009,1300,1.31,6650,
WASP-18b,10.43,1.165,0.94145299,0.02026,,transit,2009,344.1,1.28,6400,
WASP-19b,1.069,1.392,0.78883899,0.01634,2077,transit,2009,820,0.9,5568,
Xi Aquilae b,2.8,,136.75,0.68,,radial vel.,2007,204.4,2.2,4780,
XO-1b,0.92,1.21,3.94150685,0.049,,transit,2006,560,1.03,5750,
XO-2Nb,0.597,1.019,2.61585922,0.03673,,transit,2007,475,0.97,5332,
XO-3b,11.79,1.217,3.1915239,0.0454,,transit,2007,570,1.21,6429,
XO-4b,1.78,1.33,4.1250828,,1641,transit,2008,960,1.32,5700,
XO-5b,1.19,1.14,4.1877558,0.0515,,transit,2008,850,1.04,5430,
24 Sextantis b,1.99,,452.8,1.333,,radial vel.,2010,243.9,1.54,5098,
24 Sextantis c,0.86,,883,2.08,,radial vel.,2010,243.9,1.54,5098,
2MASS J04414489+2301513 b,7.5,,,15,,imaging,2010,460,0.02,,
Alpha Arietis b,1.8,,380.8,1.2,,radial vel.,2010,65.9,1.5,4553,
COROT-8b,0.22,0.57,6.21229,0.063,,transit,2010,1200,0.88,5080,
COROT-10b,2.75,0.97,13.2406,0.1055,,transit,2010,1130,0.89,5075,
COROT-11b,2.33,1.43,2.99433,0.0436,,transit,2010,1800,1.27,6440,
COROT-12b,0.917,1.44,2.828042,0.04016,,transit,2010,3800,1.08,5675,
COROT-13b,1.308,0.885,4.03519,0.051,,transit,2010,3500,1.09,5945,
COROT-14b,7.6,1.09,1.51214,0.027,,transit,2010,4400,1.13,6035,
COROT-15b,63.4,1.12,3.06036,0.045,1740,transit,2010,,1.31,6400,
DT Virginis c,6.28536,1.22,,1168,,imaging,2010,37.3,,,Has the largest orbit for a circumbinary planet
Gliese 676 Ab,6.7,,1051.1,1.812,,radial vel.,2010,55,0.71,,
Gliese 876 e,0.046,,124.26,0.3343,,radial vel.,2010,15,0.33,,
Gliese 3634 b,0.026,,2.64561,0.0287,,radial vel.,2010,65,0.45,,
GSC 06214-00210 b,16,,,320,,imaging,2010,470,0.9,4200,
HAT-P-14b,2.232,1.15,4.627669,0.0606,,transit,2010,670,1.39,6600,
HAT-P-15b,1.946,1.072,10.863502,0.0964,,transit,2010,620,1.01,5568,
HAT-P-16b,4.193,1.289,2.77596,0.0413,,transit,2010,770,1.22,6158,
HAT-P-17b,0.534,1.01,10.338523,0.0882,,transit,2010,290,0.86,5246,
HAT-P-17c,3.4,,5584,5.6,,radial vel.,2010,290,0.86,5246,
HAT-P-18b,0.197,0.995,5.508023,0.0559,841,transit,2010,540,0.77,4803,
HAT-P-19b,0.292,1.132,4.008778,0.0466,,transit,2010,700,0.84,4990,
HAT-P-20b,7.246,0.867,2.875317,0.0361,,transit,2010,230,0.76,4595,
HAT-P-21b,4.063,1.024,4.124481,0.0494,,transit,2010,830,0.95,5588,
HAT-P-22b,2.147,1.08,3.21222,0.0414,,transit,2010,270,0.92,5302,
HAT-P-23b,2.07,1.224,1.21288287,0.02302,,transit,2010,1280,1.1,5885,
HAT-P-24b,0.685,1.242,3.35524,0.0465,,transit,2010,1290,1.19,6373,
HAT-P-25b,0.567,1.19,3.652836,0.0466,,transit,2010,970,1.01,5500,
HAT-P-26b,0.059,0.565,4.234516,0.0479,,transit,2010,440,0.82,5079,
HD 1461 b,0.02026,,5.77152,0.0634,,radial vel.,2010,76.5,1.02,5765,
HD 1690 b,6.1,,533,1.3,,radial vel.,2010,22.9,1.09,4393,
HD 8535 b,0.68,,1313,2.45,,radial vel.,2010,171,1.13,6136,
HD 10180 c,0.0416,,5.75969,0.06412,,radial vel.,2010,127.3,1.06,5911,
HD 10180 d,0.0378,,16.357,0.12859,,radial vel.,2010,127.3,1.06,5911,
HD 10180 e,0.0805,,49.748,0.2699,,radial vel.,2010,127.3,1.06,5911,
HD 10180 f,0.0722,,122.744,0.4929,,radial vel.,2010,127.3,1.06,5911,
HD 10180 g,0.0732,,604.67,1.427,,radial vel.,2010,127.3,1.06,5911,
HD 10180 h,0.2066,,2205,3.381,,radial vel.,2010,127.3,1.06,5911,
HD 25171 b,0.95,,1845,3.02,,radial vel.,2010,182.8,1.09,6160,
HD 28254 b,1.16,,1116,2.15,,radial vel.,2010,178,1.06,5664,
HD 31253 b,0.5,,466,1.26,,radial vel.,2010,175.5,1.23,5960,
HD 38283 b,0.34,,363.2,1.02,,radial vel.,2010,123.2,1.08,5998,
HD 43197 b,0.6,,327.8,0.92,,radial vel.,2010,184,0.96,5508,
HD 44219 b,0.58,,472.3,1.19,,radial vel.,2010,164,1,5752,
HD 97658 b,0.02473,0.209,9.4909,0.0796,757,radial vel.,2010,69,0.75,5119,
HD 102365 b,0.05,,122.1,0.46,,radial vel.,2010,30.1,0.85,5630,
HD 102956 b,0.96,,6.495,0.081,,radial vel.,2010,394.9,1.68,5054,
HD 109246 b,0.77,,68.27,0.33,,radial vel.,2010,214,1.01,5844,
HD 113538 b,0.36,,663.2,1.24,,radial vel.,2010,52,0.58,4462,
HD 113538 c,0.93,,1818,2.44,,radial vel.,2010,52,0.58,4462,
HD 145457 b,2.9,,176.3,0.76,,radial vel.,2010,411,1.9,4757,
HD 156668 b,0.013,,4.6455,0.05,,radial vel.,2010,78.4,,,
HD 163607 b,0.77,,75.29,0.36,,radial vel.,2010,226.5,1.09,5543,
HD 163607 c,2.29,,1314,2.42,,radial vel.,2010,226.5,1.09,5543,
HD 164509 b,0.48,,282.4,0.875,,radial vel.,2010,169.0,1.13,5922,
HD 177830 c,0.15,,110.9,0.5137,,radial vel.,2010,192.5,1.47,4949,
HD 180314 b,22,,396.03,1.4,,radial vel.,2010,429.7,2.6,4917,
HD 200964 b,1.85,,613.8,1.601,,radial vel.,2010,222.9,1.44,5164,
HD 200964 c,0.895,,825,1.95,,radial vel.,2010,222.9,1.44,5164,
HD 204313 b,4.28,,2024.1,3.167,,radial vel.,2010,154,1.02,5776,
HD 218566 b,0.21,,225.7,0.6873,,radial vel.,2010,97.7,0.85,4820,
HIP 12961 b,0.35,,57.435,0.25,,radial vel.,2010,78,,,
HIP 57050 b,0.298,,41.397,0.163506,,radial vel.,2010,36.0,,,
HIP 78530 b,23,,,740,,imaging,2010,511,2.5,10500,
HR 8799 e,,,18000,14.5,,imaging,2010,129,1.51,,
Kepler-8b,0.59,1.416,3.5224991,0.0474,1638,transit,2010,4300,1.21,6213,
Kepler-9b,0.252,0.842,19.24,0.14,,transit,2010,2100,1.07,5777,
Kepler-9c,0.171,0.823,38.91,0.225,,transit,2010,2100,1.07,5777,
Kepler-9d,,0.146,1.592851,0.0273,,transit,2010,2100,1.07,5777,
Kepler-11b,0.006,0.161,10.3039,0.091,,transit,2010,2000,0.96,5663,
Kepler-11c,0.009,0.256,13.0241,0.107,,transit,2010,2000,0.96,5663,
Kepler-11d,0.023,0.278,22.6845,0.155,,transit,2010,2000,0.96,5663,
Kepler-11e,0.025,0.374,31.9996,0.195,,transit,2010,2000,0.96,5663,
Kepler-11f,0.006,0.222,46.6888,0.25,,transit,2010,2000,0.96,5663,
Kepler-11g,0.079,0.297,118.3807,0.466,,transit,2010,2000,0.96,5663,
Kepler-40b,2.2,1.17,6.87349,0.08,,transit,2010,8800,1.48,6510,
Kepler-71b,,1.11,3.90512,0.0477,,transit,2010,2600,0.95,5545,
MOA-2009-BLG-319Lb,0.16,,,2.4,,microlensing,2010,20000,0.38,,
MOA-2009-BLG-387Lb,2.56,,1982,1.82,,microlensing,2010,18600,0.19,,
NN Serpentis c,7.33,,5573.55,5.35,,timing,2010,1600,0.54,57000,
NN Serpentis d,2.3,,2883.5,3.43,,timing,2010,1600,0.54,57000,
Qatar-1b,1.294,1.143,1.4200242,0.02332,,transit,2010,,0.84,5013,
SR 12 c,13,,,,,imaging,2010,,,,
WASP-8b,2.244,1.038,8.158715,0.0801,,transit,2010,280,1.03,5600,
WASP-21b,0.3,1.07,4.322482,0.052,,transit,2010,790,0.89,5800,
WASP-22b,0.617,1.199,3.53273064,0.0489,,transit,2010,980,1.25,6153,
WASP-23b,0.884,0.962,2.9444256,0.0376,,transit,2010,,0.78,5150,
WASP-24b,1.071,1.3,2.34121242,0.03651,,transit,2010,,1.18,6075,
WASP-25b,0.58,1.22,3.764825,0.0473,,transit,2010,,1,5703,
WASP-26b,1.028,1.281,2.7566004,0.03985,,transit,2010,820,1.11,5939,
WASP-29b,0.244,0.792,3.922727,0.0457,,transit,2010,230,0.82,4800,
WASP-31b,0.478,1.549,3.4059096,0.04659,,transit,2010,1200,1.16,6302,
WASP-32b,3.6,1.18,2.718659,0.0394,,transit,2010,,1.1,6100,
WASP-33b,4.1,1.497,1.2198669,0.02555,,transit,2010,378.8,1.5,7430,
WASP-34b,0.59,1.22,4.3176782,0.0524,,transit,2010,390,1.01,5700,
WASP-37b,1.8,1.16,3.577469,0.0446,,transit,2010,1120,0.93,5800,
WASP-38b,2.691,1.094,6.871815,0.07522,,transit,2010,360,1.2,6150,
7 Canis Majoris b,2.46,,796,1.93,,radial vel.,2011,64.7,1.52,4792,
BD+48 738 b,0.91,,392.6,1,,radial vel.,2011,,0.74,4414,
CFBDSIR J145829+101343 b,10.5,,10037.5,2.6,,imaging,2011,75,0.02,580.5,
COROT-16b,0.535,1.17,5.35227,0.0618,,transit,2011,2700,1.1,5650,
COROT-17b,2.43,1.02,3.7681,0.0461,,transit,2011,3000,1.04,5740,
COROT-18b,3.47,1.31,1.9000693,0.0295,,transit,2011,2800,0.95,5440,
COROT-19b,1.11,1.29,3.89713,0.0518,,transit,2011,2500,1.21,6090,
COROT-20b,4.24,0.84,9.24285,0.0902,,transit,2011,2800,1.14,,
COROT-21b,2.26,1.3,2.72,0.0417,1867,transit,2011,,1.29,6200,
COROT-23b,2.8,1.05,3.6313,0.048,,transit,2011,2000,1.14,5900,
Gliese 433 b,0.018,,7.3709,0.058,,radial vel.,2011,29.5,0.48,3600,
Gliese 667 Cb,0.018,,7.2004,0.0505,,radial vel.,2011,22,0.33,3350,
Gliese 667 Cc,0.012,,28.14,0.125,,radial vel.,2011,22,0.33,3350,Potentially habitable exoplanet
HAT-P-27b,0.62,1.02,3.039577,0.04,,transit,2011,670,0.94,5300,
HAT-P-28b,0.626,1.212,3.257215,0.0434,,transit,2011,1290,1.02,5680,
HAT-P-29b,0.778,1.107,5.723186,0.0667,,transit,2011,1050,1.21,6087,
HAT-P-30b,0.711,1.34,2.810595,0.0419,,transit,2011,630,1.24,6304,
HAT-P-31b,2.171,1.07,5.005425,0.055,,transit,2011,1150,1.22,6065,
HAT-P-32b,,1.789,2.15000805,0.0343,,transit,2011,920,,6269,
HAT-P-33b,0.762,1.686,3.474474,0.0499,,transit,2011,1260,1.38,6446,
HAT-P-34b,3.328,1.197,5.452654,0.0677,,transit,2011,840,1.39,6442,
HAT-P-35b,1.054,1.332,3.646706,0.0498,,transit,2011,1740,1.24,6096,
HAT-P-36b,1.832,1.264,1.327347,0.0238,,transit,2011,1030,1.02,5560,
HAT-P-37b,1.169,1.178,2.797436,0.0379,,transit,2011,1340,0.93,5500,
HD 1502 b,3.1,,431.8,1.31,,radial vel.,2011,546,1.61,5049,
HD 5891 b,7.6,,177.11,0.76,,radial vel.,2011,491,1.91,4907,
HD 7199 b,0.29,,615,1.36,,radial vel.,2011,117.0,0.89,5386,
HD 7449 b,1.11,,1275,2.3,,radial vel.,2011,125.6,1.05,6024,
HD 18742 b,2.7,,772,1.92,,radial vel.,2011,417.1,1.6,5048,
HD 20794 b,0.0085,,18.315,0.1207,,radial vel.,2011,19.8,0.7,5401,
HD 20794 c,0.0076,,40.114,0.2036,,radial vel.,2011,19.8,0.7,5401,
HD 20794 d,0.015,,90.309,0.3499,,radial vel.,2011,19.8,0.7,5401,
HD 22781 b,13.65,,528.07,1.167,,radial vel.,2011,103.7,0.75,5027,
HD 28678 b,1.7,,387.1,1.25,,radial vel.,2011,550.9,1.74,5076,
HD 30856 b,1.8,,912,1.8,,radial vel.,2011,394.9,1.35,4982,
HD 33142 b,1.3,,326.6,1.06,,radial vel.,2011,446,1.48,5052,
HD 79498 b,1.34,,1966.1,3.13,,radial vel.,2011,158.6,,,
HD 82886 b,1.3,,705,1.65,,radial vel.,2011,366.0,1.06,5112,
HD 85512 b,0.011,,58.43,0.26,,radial vel.,2011,36.4,0.69,4715,
HD 96063 b,0.9,,361.1,0.99,,radial vel.,2011,433,1.02,5148,
HD 96127 b,4,,647.3,1.4,,radial vel.,2011,721.6,0.91,4152,
HD 98219 b,1.8,,436.9,1.23,,radial vel.,2011,490.5,1.3,4992,
HD 99706 b,1.4,,868,2.14,,radial vel.,2011,426.9,1.72,4932,
HD 102329 b,5.9,,778.1,2.03,,radial vel.,2011,452,1.95,4830,
HD 106270 b,11,,2890,4.3,,radial vel.,2011,286.6,1.32,5638,
HD 108863 b,2.6,,443.4,1.4,,radial vel.,2011,452,1.85,4956,
HD 116029 b,2.1,,670,1.78,,radial vel.,2011,360.8,1.58,4951,
HD 131496 b,2.2,,883,2.09,,radial vel.,2011,395.8,1.61,4927,
HD 132563 b,1.49,,1544,2.62,,radial vel.,2011,321.3,,,
HD 137388 Ab,0.223,,330,0.89,,radial vel.,2011,125.4,0.86,5240,
HD 142245 b,1.9,,1299,2.77,,radial vel.,2011,347.0,1.69,4878,
HD 152581 b,1.5,,689,1.48,,radial vel.,2011,596.3,0.93,5155,
HD 158038 b,1.8,,521,1.52,,radial vel.,2011,372.3,1.65,4897,
HD 192310 b,0.0532,,74.72,0.32,,radial vel.,2011,28.8,0.8,5166,
HD 192310 c,0.076,,525.8,1.18,,radial vel.,2011,28.8,0.8,5166,
HD 204941 b,0.266,,1733,2.56,,radial vel.,2011,87.9,0.74,5056,
HD 217786 b,13,,1319,2.38,,radial vel.,2011,179,1.02,5966,
HD 220773 b,1.45,,3724.7,4.94,,radial vel.,2011,158.0,,,
HD 222155 b,1.9,,3999,5.1,,radial vel.,2011,164.5,1.13,5765,
HD 240237 b,5.3,,745.7,1.9,,radial vel.,2011,1003.6,1.69,4361,
HIP 5158 c,15.04,,9017.76,7.7,,radial vel.,2011,146,0.78,4962,
HIP 57274 b,0.0365,,8.1352,0.07,,radial vel.,2011,84.4,,,
HIP 57274 c,0.40902,,32.03,0.178,,radial vel.,2011,84.4,,,
HIP 57274 d,0.5267,,431.7,1.01,,radial vel.,2011,84.4,,,
Kepler-10b,0.0145,0.132,0.837491,0.0172,2169,transit,2011,560,0.91,5627,
Kepler-10c,0.054,0.21,45.294301,,584,transit,2011,560,0.91,5627,
Kepler-12b,0.432,1.754,4.4379629,0.0553,1477,transit,2011,2000,1.17,5947,
Kepler-13b,9.28,1.512,1.763588,0.03641,,transit,2011,,1.72,7650,
Kepler-14b,8.4,1.136,6.790123,,1573,transit,2011,3200,1.51,6395,
Kepler-15b,0.66,0.96,4.942782,0.05714,1225,transit,2011,,1.02,5515,
Kepler-16b,0.333,0.754,228.776,0.7048,,transit,2011,200,0.69,4450,
Kepler-17b,2.45,1.31,1.4857108,0.02591,1655,transit,2011,2600,1.16,5781,
Kepler-18b,0.022,0.178,3.504725,0.0447,,transit,2011,,0.97,5345,
Kepler-18c,0.054,0.49,7.64159,0.0752,,transit,2011,,0.97,5345,
Kepler-18d,0.052,0.623,14.85888,0.1172,,transit,2011,,0.97,5345,
Kepler-19b,0.064,0.197,9.2869944,,,transit,2011,6910,0.94,5541,
Kepler-19c,6,,160,,,timing,2011,6910,0.94,5541,
Kepler-20b,0.03052,0.167,3.69611525,0.0463,,transit,2011,950,0.95,5495,
Kepler-20c,0.04012,0.272,10.85409089,0.0949,,transit,2011,950,0.95,5495,
Kepler-20d,0.03168,0.245,77.61130017,0.3506,,transit,2011,950,0.95,5495,
Kepler-20e,,0.077,6.09852281,0.0639,,transit,2011,950,0.95,5495,
Kepler-20f,,0.089,19.57758478,0.1396,,transit,2011,950,0.95,5495,
Kepler-22b,0.113,0.212,289.8623,0.849,,transit,2011,620,0.97,5518,
Kepler-23b,0.8,0.17,7.1073,0.075,,transit,2011,2600,1.11,5828,
Kepler-23c,2.7,0.285,10.7421,0.099,,transit,2011,2600,1.11,5828,
Kepler-24b,1.6,0.214,8.1453,0.08,,transit,2011,3900,1.03,5897,
Kepler-24c,1.6,0.25,12.3335,0.106,,transit,2011,3900,1.03,5897,
Kepler-25b,0.0302,0.242,6.2385,,,transit,2011,,1.19,6270,
Kepler-25c,0.0774,0.464,12.7204,,,transit,2011,,1.19,6270,
Kepler-26b,0.01611,0.248,12.28,,,transit,2011,,0.54,3914,
Kepler-26c,0.01951,0.243,17.2559,,,transit,2011,,0.54,3914,
Kepler-27b,9.11,0.357,15.3348,0.118,,transit,2011,,0.65,5400,
Kepler-27c,13.8,0.437,31.3309,0.191,,transit,2011,,0.65,5400,
Kepler-28b,1.51,0.321,5.9123,0.062,,transit,2011,,0.75,4590,
Kepler-28c,1.36,0.303,8.9858,0.081,,transit,2011,,0.75,4590,
Kepler-29b,0.01419,0.299,10.3384,,,transit,2011,4600,0.98,5701,
Kepler-29c,0.01259,0.28,13.2884,,,transit,2011,4600,0.98,5701,
Kepler-31b,,0.491,20.8613,0.16,,transit,2011,6800,1.21,6340,
Kepler-31c,4.7,0.473,42.6318,0.26,,transit,2011,6800,1.21,6340,
Kepler-32b,4.1,0.196,5.90124,0.05,,transit,2011,990,0.58,3900,
Kepler-32c,0.5,0.178,8.7522,0.09,,transit,2011,990,0.58,3900,
Kepler-33b,,0.155,5.66793,0.0677,,transit,2011,,1.29,5904,
Kepler-33c,,0.285,13.17562,0.1189,,transit,2011,,1.29,5904,
Kepler-33d,,0.477,21.77596,0.1662,,transit,2011,,1.29,5904,
Kepler-33e,,0.359,31.7844,0.2138,,transit,2011,,1.29,5904,
Kepler-33f,,0.398,41.02902,0.2535,,transit,2011,,1.29,5904,
Kepler-34b,0.22,0.764,288.822,1.0896,,transit,2011,4890,1.05,5913,
Kepler-35b,0.127,0.728,131.458,0.60347,,transit,2011,5370,0.89,5606,
Kepler-39b,20.1,1.24,21.08721,0.164,905,transit,2011,3900,1.29,6350,
Kepler-41b,0.56,1.29,1.8555582,0.03101,1745,transit,2011,2500,1.15,5750,
Kepler-42b,,0.07,1.2137672,0.0116,,transit,2011,126,0.13,3068,
Kepler-42c,,0.065,0.45328509,0.006,,transit,2011,126,0.13,3068,
Kepler-42d,,0.051,1.865169,0.0154,,transit,2011,126,0.13,3068,
Kepler-43b,3.23,1.219,3.0240949,0.046,,transit,2011,6400,1.32,6041,
Kepler-44b,1,1.09,3.2467293,0.0446,,transit,2011,7300,1.12,5800,
Kepler-45b,0.505,0.96,2.455239,0.03,,transit,2011,1090,0.59,3820,
Kepler-70b,0.0014,0.068,0.240104,0.006,,imaging,2011,3800,0.5,27730,
Kepler-70c,0.0021,0.077,0.342887,0.0076,,imaging,2011,3800,0.5,27730,
MOA-2009-BLG-266Lb,0.033,,2774,3.2,,microlensing,2011,9900,0.56,,
NY Virginis b,2.78,,2985.7,,,timing,2011,,,,
PSR J1719-1438 b,1.2,,0.09070629,0.0044,,timing,2011,3900,1.4,4500,Shortest orbital period of any known exoplanet
Qatar-2b,2.494,1.254,1.33711647,0.02153,,transit,2011,,0.74,4645,
TrES-5b,1.79,1.194,1.48224686,0.02459,,transit,2011,1200,0.9,5171,
UZ Fornacis b,6.3,,5840,5.9,,timing,2011,,0.7,,
UZ Fornacis c,7.7,,1916.25,2.8,,timing,2011,,0.7,,
WASP-35b,0.72,1.32,3.161575,0.04317,,transit,2011,,1.07,5990,
WASP-36b,2.361,1.327,1.53736596,0.02677,,transit,2011,1500,1.08,5959,
